cpu,mark,rank
Intel Xeon W-1290 @ 3.20GHz,20112,906
Intel Core i7-1280P,20098,907
AMD Ryzen 5 230,20096,908
AMD Ryzen 7 PRO 6860Z,20084,909
Intel Xeon E5-2699 v3 @ 2.30GHz,20063,910
Intel Core i7-7900X @ 3.30GHz,20039,911
AMD Ryzen 5 8640U,19995,912
Intel Core i7-1370P,19988,913
Intel Core i5-1350PRE,19945,914
Intel Core i9-11900H @ 2.50GHz,19935,915
AMD Ryzen 5 8640HS,19905,916
AMD Ryzen 5 PRO 220,19889,917
Intel Core i7-13800HRE,19884,918
Intel Xeon E5-2686 v4 @ 2.30GHz,19881,919
Intel Core i7-11850H @ 2.50GHz,19829,920
Intel Core i7-12700TE,19803,921
Intel Core i7-11800H @ 2.30GHz,19782,922
Intel Core i9-10900F @ 2.80GHz,19779,923
ARM - 16 Core 0 MHz,19753,924
AMD Ryzen 5 PRO 5655G,19739,925
Intel Core i5-12500,19729,926
AMD Ryzen 7 PRO 4700G,19715,927
AMD Ryzen 5 5600G,19689,928
AMD Ryzen 7 4700GE,19636,929
Intel Core Ultra 7 256V,19630,930
AMD Ryzen AI 5 340,19615,931
Intel Xeon W-1350P @ 4.00GHz,19611,932
Intel Core i5-12400F,19570,933
Intel Core Ultra 7 268V,19551,934
AMD EPYC 3451,19532,935
AMD Ryzen 5 PRO 230,19529,936
Intel Core i5-11600K @ 3.90GHz,19512,937
Intel Core Ultra 5 335,19491,938
AMD Ryzen 7 5800HS,19477,939
Intel Xeon E-2386G @ 3.50GHz,19468,940
AMD Ryzen 7 PRO 5800H,19461,941
Intel Core i5-11600KF @ 3.90GHz,19455,942
AMD Ryzen AI 5 PRO 340,19441,943
Intel CoreT i5-1350P,19429,944
Intel Xeon W-1290E @ 3.50GHz,19424,945
Intel Xeon W-2245 @ 3.90GHz,19419,946
AMD EPYC 7252,19411,947
Intel Core i9-9900KS @ 4.00GHz,19381,948
Intel Xeon D-2183IT @ 2.20GHz,19377,949
Intel Xeon Gold 6137 @ 3.90GHz,19365,950
Intel Core Ultra 7 266V,19320,951
AMD Ryzen 5 5500,19296,952
Intel Xeon E5-2690 v4 @ 2.60GHz,19246,953
Intel Core i7-1370PRE,19159,954
Intel Core i9-10900 @ 2.80GHz,19142,955
Intel Core i9-10900E @ 2.80GHz,19120,956
Intel Core i5-1250P,19105,957
Apple M3 8 Core,19099,958
Intel Xeon D-2752TER @ 1.80GHz,19074,959
AMD Ryzen 7 7445HS,19063,960
Intel Xeon E5-2676 v4 @ 2.40GHz,18978,961
Intel Core Ultra 7 258V,18948,962
AMD Ryzen 5 5500GT,18927,963
Intel Xeon w3-2425,18895,964
Intel Xeon E5-2698 v3 @ 2.30GHz,18860,965
Intel Xeon E5-2695 v4 @ 2.10GHz,18855,966
AMD Ryzen 9 4900H,18832,967
Hygon C86 7255 16-core,18831,968
ARM Neoverse-N1 80 Core 2600 MHz,18823,969
Intel Xeon Gold 6244 @ 3.60GHz,18818,970
Intel Core i5-12400,18799,971
Intel Xeon Silver 4309Y @ 2.80GHz,18791,972
AMD Ryzen 9 4900HS,18791,973
AMD Ryzen 5 PRO 7545U,18774,974
Intel Xeon W-1350 @ 3.30GHz,18742,975
AMD Ryzen 5 220,18740,976
Intel Core i5-1350P,18735,977
AMD Ryzen 5 5600F,18687,978
Intel Xeon W-1270E @ 3.40GHz,18635,979
AMD Ryzen 5 7540U,18627,980
Intel Core i9-11900T @ 1.50GHz,18620,981
Intel Core i5-1340P,18554,982
Intel Xeon W-11865MRE @ 2.60GHz,18550,983
Intel Core i7-10700K @ 3.80GHz,18547,984
AMD Ryzen 5 3600XT,18544,985
Intel Core 5 210H,18532,986
Intel Xeon E5-2682 v4 @ 2.50GHz,18492,987
Intel Core i5-1340PE,18490,988
Intel Core i7-1360P,18488,989
AMD Ryzen 5 6600H,18467,990
AMD Ryzen 7 Pro 7735U,18465,991
Intel Xeon E-2356G @ 3.20GHz,18459,992
AMD Ryzen Embedded V2748,18434,993
AMD Ryzen Z1,18433,994
Intel Xeon W-1290T @ 1.90GHz,18409,995
AMD Ryzen 7 PRO 4750GE,18406,996
AMD Ryzen 5 8540U,18401,997
Intel Core Ultra 5 225U,18365,998
Intel Core i5-1250PE,18365,999
Intel Core i7-10700KF @ 3.80GHz,18362,1000
Intel Xeon W-1270P @ 3.80GHz,18345,1001
Intel Xeon Silver 4509Y,18337,1002
Intel Core Ultra 5 236V,18326,1003
AMD Ryzen 5 PRO 8540U,18298,1004
Intel Core i7-1265UL,18294,1005
Intel Core Ultra 5 238V,18291,1006
Intel Xeon W-3225 @ 3.70GHz,18251,1007
AMD Ryzen 5 PRO 6650H,18244,1008
Intel Xeon E7-8880 v3 @ 2.30GHz,18244,1009
Intel Core Ultra 5 226V,18229,1010
Intel Xeon Gold 5120 @ 2.20GHz,18191,1011
Intel Xeon E5-2697 v3 @ 2.60GHz,18169,1012
AMD Ryzen 9 5900HS Creator Edition,18169,1013
Intel Xeon E5-2686 v3 @ 2.00GHz,18148,1014
Intel Core i7-9800X @ 3.80GHz,18140,1015
AMD EPYC 4124P,18139,1016
AMD Ryzen 7 PRO 7730U,18138,1017
AMD Ryzen 5 3600X,18133,1018
Intel Xeon Gold 5120T @ 2.20GHz,18127,1019
AMD Ryzen 5 PRO 5650GE,18112,1020
Snapdragon X Plus - X1P42100 - Qualcomm Oryon,18104,1021
Intel Core i9-9900K @ 3.60GHz,18095,1022
Intel Xeon D-2187NT @ 2.00GHz,18070,1023
AMD Ryzen 7 5800U,18050,1024
Intel Xeon Gold 6144 @ 3.50GHz,18040,1025
Intel Core i9-9900KF @ 3.60GHz,18037,1026
AMD Ryzen 5 PRO 5655GE,18033,1027
AMD Ryzen 7 4800HS,18025,1028
AMD Ryzen 7 4800H,18024,1029
AMD Ryzen 5 5600GE,18011,1030
Intel Xeon W-2145 @ 3.70GHz,18005,1031
AMD Ryzen 7 5825U,18000,1032
AMD Ryzen 5 PRO 215,17989,1033
Intel Xeon E5-2666 v4 @ 2.80GHz,17958,1034
Intel Core i5-11600 @ 2.80GHz,17940,1035
Intel Core i5-12450HX,17932,1036
Intel Core Ultra 7 255U,17850,1037
Intel Xeon Phi 7290 @ 1.50GHz,17839,1038
Intel Core Ultra 7 265U,17832,1039
Intel Xeon D-1736NT @ 2.70GHz,17826,1040
AMD Ryzen 5 7535HS,17770,1041
Intel Core i3-1320PRE,17759,1042
Intel Xeon E5-2687W v4 @ 3.00GHz,17723,1043
AMD EPYC 7203,17717,1044
AMD EPYC 7232P,17712,1045
AMD Ryzen 5 6600HS Creator Edition,17708,1046
AMD Ryzen 5 3600,17680,1047
AMD 4700S,17650,1048
AMD Ryzen 7 5800HS Creator Edition,17636,1049
AMD Ryzen 7 7730U,17621,1050
Intel Core 3 100HL,17586,1051
Intel Core i7-6950X @ 3.00GHz,17580,1052
Intel Xeon W-1270 @ 3.40GHz,17552,1053
ARM Neoverse-N1 64 Core 3000 MHz,17515,1054
Intel Xeon Gold 6126 @ 2.60GHz,17492,1055
Intel Xeon Silver 4214R @ 2.40GHz,17489,1056
Intel Xeon E5-2680R v4 @ 2.40GHz,17487,1057
Intel Xeon W-11555MRE @ 2.60GHz,17484,1058
AMD Ryzen 5 PRO 7540U,17475,1059
AMD Ryzen 7 4980U Microsoft Surface Edition,17469,1060
Intel Xeon E5-2683 v4 @ 2.10GHz,17457,1061
AMD Ryzen 7 2700X,17447,1062
Intel Xeon W-11855M @ 3.20GHz,17431,1063
Intel Xeon E-2288G @ 3.70GHz,17430,1064
Intel Xeon E5-4669 v3 @ 2.10GHz,17430,1065
Intel Core i5-12600T,17420,1066
Intel Core Ultra 5 228V,17391,1067
ARM Neoverse-N1 32 Core 0 MHz,17384,1068
Intel Core i7-1370PE,17340,1069
Intel Core Ultra 5 235U,17326,1070
Intel Xeon W-2140B @ 3.20GHz,17314,1071
Intel Atom P5362,17276,1072
Intel Xeon Gold 6234 @ 3.30GHz,17274,1073
Intel Xeon E5-2680 v4 @ 2.40GHz,17239,1074
Apple M1 Pro 8 Core 3200 MHz,17212,1075
Intel Core i7-7820X @ 3.60GHz,17189,1076
AMD Ryzen 5 4400G,17160,1077
Intel Xeon E-2378 @ 2.60GHz,17151,1078
AMD Ryzen 5 PRO 3600,17130,1079
Intel Core i5-13420H,17128,1080
AMD Ryzen 7 4850U Mobile,17110,1081
Intel Xeon E5-2689 v4 @ 3.10GHz,17099,1082
Intel Core i5-11500B @ 3.30GHz,17075,1083
Intel Core i5-11500 @ 2.70GHz,17060,1084
Intel Core Ultra 5 125U,16987,1085
AMD Ryzen 7 PRO 2700X,16959,1086
Intel Xeon D-1848TER @ 2.00GHz,16952,1087
ARM - 12 Core 2000 MHz,16944,1088
Intel Xeon W-3223 @ 3.50GHz,16937,1089
AMD Ryzen 5 6600U,16924,1090
Intel Xeon Gold 5117 @ 2.00GHz,16897,1091
Intel Core i5-11400F @ 2.60GHz,16889,1092
Intel Xeon E-2278G @ 3.40GHz,16872,1093
AMD Ryzen 5 7535U,16858,1094
AMD Ryzen Threadripper 1900X,16836,1095
Intel Core Ultra 7 165U,16824,1096
Intel Core Ultra 5 135U,16822,1097
AMD Ryzen 7 PRO 5850U,16777,1098
Virtual @ 3.80GHz,16740,1099
Intel Core i7-1270PE,16740,1100
virt-10.1,16719,1101
Intel Xeon Gold 5118 @ 2.30GHz,16699,1102
AMD Ryzen 7 PRO 5875U,16668,1103
Intel Core i5-11400 @ 2.60GHz,16665,1104
Intel Core i7-1270P,16614,1105
Intel Core i7-1260P,16583,1106
Intel Xeon E5-2695 v3 @ 2.30GHz,16555,1107
Intel Xeon Gold 6134 @ 3.20GHz,16522,1108
Snapdragon X - X126100 - Qualcomm Oryon,16510,1109
AMD Ryzen 5 5600H,16491,1110
Intel Xeon E7-4809 v2 @ 1.90GHz,16471,1111
Intel Xeon Silver 4214Y @ 2.20GHz,16442,1112
AMD Ryzen 7 4800U,16411,1113
AMD Ryzen 5 PRO 4400G,16401,1114
Intel Xeon Silver 4214 @ 2.20GHz,16378,1115
Intel Xeon 6325P,16346,1116
Intel Core i5-12500T,16330,1117
AMD Ryzen 7 Extreme Edition,16329,1118
Hygon C86-4G (OPN:3450M),16306,1119
Intel Xeon Gold 5215 @ 2.20GHz,16304,1120
AMD Ryzen 9 4950U Mobile,16290,1121
AMD Ryzen 7 1800X,16288,1122
Intel Xeon E5-2698B v3 @ 2.00GHz,16287,1123
Intel Core i9-9900 @ 3.10GHz,16241,1124
Intel Xeon E5-4650 v4 @ 2.20GHz,16225,1125
Intel Xeon E-2336 @ 2.90GHz,16209,1126
Intel Xeon Platinum 8151 @ 3.40GHz,16208,1127
Intel Xeon D-2733NT @ 2.10GHz,16206,1128
AMD Ryzen 5 PRO 6650U,16185,1129
AMD Ryzen 5 PRO 4655G,16181,1130
Intel Core Ultra 7 155U,16171,1131
Intel Core i5-1240P,16146,1132
Intel Core i3-1220PE,16146,1133
AMD Ryzen 5 Pro 7535U,16112,1134
Intel Xeon E5-2669 v3 @ 2.30GHz,16107,1135
Intel Core i7-10700F @ 2.90GHz,16103,1136
Intel Core i7-10700E @ 2.90GHz,16086,1137
Intel Core i5-12450H,16068,1138
Intel Core i7-10700 @ 2.90GHz,16050,1139
AMD Ryzen 5 PRO 4650G,16040,1140
Intel Xeon E5-2690 v3 @ 2.60GHz,16030,1141
AMD Ryzen 5 4500,16021,1142
AMD Ryzen 5 4600G,15983,1143
Intel Core 5 120U,15976,1144
Intel Xeon E-2278GE @ 3.30GHz,15956,1145
Intel Xeon W-11865MLE @ 1.50GHz,15917,1146
AMD Ryzen 5 7430U,15894,1147
Intel Core i9-9900B @ 3.10GHz,15893,1148
AMD Ryzen 5 4600GE,15889,1149
Intel Xeon w3-2423,15834,1150
AMD Ryzen Embedded V2718,15831,1151
XRing O1,15765,1152
Intel Xeon Gold 5215 @ 2.50GHz,15757,1153
Intel Xeon D-1746TER @ 2.00GHz,15660,1154
Apple M2 8 Core 3500 MHz,15646,1155
Intel Core i5-11500H @ 2.90GHz,15634,1156
AMD Ryzen 7 2700,15632,1157
AMD Ryzen 7 1700X,15623,1158
Intel Core i5-12400T,15605,1159
AMD Ryzen 7 PRO 1700X,15570,1160
Intel Xeon E5-2660 v4 @ 2.00GHz,15530,1161
Intel Xeon W-10885M @ 2.40GHz,15522,1162
Intel Xeon D-1726 @ 2.90GHz,15511,1163
AMD Ryzen 7 5700U,15486,1164
Intel Core Ultra 5 332,15471,1165
Intel Core i7-11600H @ 2.90GHz,15451,1166
Intel Core i5-12500TE,15440,1167
Intel Xeon Gold 5217 @ 3.00GHz,15429,1168
Intel Xeon E5-4667 v3 @ 2.00GHz,15397,1169
Intel Core i5-11260H @ 2.60GHz,15391,1170
Intel Core i3-14100F,15380,1171
Ryzen 5 150 with Radeon Graphics,15376,1172
Intel Xeon E5-4660 v4 @ 2.20GHz,15375,1173
Intel Core i5-1245UL,15357,1174
Snapdragon X Plus (8-core) @ 3.30 GHz,15343,1175
Intel Core i7-11700T @ 1.40GHz,15322,1176
AMD Ryzen 7 PRO 2700,15304,1177
AMD Ryzen 5 PRO 4650GE,15294,1178
AMD Ryzen 5 7530U,15267,1179
AMD Ryzen 5 7533HS,15249,1180
Intel Core i5-11400H @ 2.70GHz,15224,1181
AMD Ryzen 5 5560U,15205,1182
Intel Xeon Silver 4210R @ 2.40GHz,15202,1183
Intel Xeon Silver 4116T @ 2.10GHz,15187,1184
Intel Core i9-10980HK @ 2.40GHz,15163,1185
Intel Core i3-14100,15142,1186
Intel Xeon E-2286M @ 2.40GHz,15120,1187
Intel Xeon D-2166NT @ 2.00GHz,15105,1188
Intel Xeon E E-2434,15093,1189
Intel Core 7 250U,15093,1190
Intel Xeon Gold 5115 @ 2.40GHz,15085,1191
AMD Ryzen 5 5600U,15034,1192
AMD EPYC 7301,14991,1193
Intel Core 7 150U,14979,1194
AMD EPYC 7251,14935,1195
Intel Xeon Silver 4116 @ 2.10GHz,14918,1196
Intel Xeon E5-2658A v3 @ 2.20GHz,14879,1197
Apple A19 Pro,14868,1198
Intel Xeon D-1733NT @ 2.00GHz,14849,1199
Intel Xeon E5-2680 v3 @ 2.50GHz,14837,1200
Intel Xeon E5-1681 v3 @ 2.90GHz,14820,1201
AMD Ryzen 5 PRO 4400GE,14795,1202
Intel Xeon E5-2683 v3 @ 2.00GHz,14778,1203
AMD Ryzen 7 1700,14764,1204
AMD Ryzen 7 PRO 4750U,14741,1205
Intel Core i9-10900T @ 1.90GHz,14727,1206
AMD Ryzen 7 PRO 1700,14699,1207
Intel Xeon Silver 4215R @ 3.20GHz,14683,1208
Montage Jintide C4215R,14672,1209
Intel Core i3-13100F,14663,1210
AMD Ryzen 7 2700E,14657,1211
AMD Ryzen 5 5625U,14654,1212
Intel Core i7-6900K @ 3.20GHz,14651,1213
ARM Neoverse-N2 16 Core 0 MHz,14636,1214
Intel Xeon E5-2678 v3 @ 2.50GHz,14633,1215
Intel Core i5-13600HRE,14591,1216
AMD Ryzen 7 5825C,14561,1217
AMD Ryzen 3 PRO 8300G,14540,1218
Intel Xeon E5-2687W v3 @ 3.10GHz,14538,1219
Intel Xeon W-1290TE @ 1.80GHz,14501,1220
AMD Ryzen 3 PRO 8300GE,14491,1221
Intel Core i3-1220P,14473,1222
Intel Core i7-10875H @ 2.30GHz,14472,1223
Apple A19,14454,1224
Intel Core i5-11600T @ 1.70GHz,14447,1225
Intel Xeon E5-2658 v4 @ 2.30GHz,14434,1226
Intel Xeon Silver 4123 @ 3.00GHz,14405,1227
Intel Core i7-9700K @ 3.60GHz,14403,1228
Intel Core 3 201E,14403,1229
Intel CC150 @ 3.50GHz,14402,1230
Intel Core i9-10885H @ 2.40GHz,14402,1231
Intel Xeon W-2135 @ 3.70GHz,14377,1232
AMD Ryzen 5 4600HS,14349,1233
Intel Core i3-12300,14324,1234
Virtual @ 3.41GHz,14308,1235
Intel Xeon W-1250P @ 4.10GHz,14303,1236
Intel Xeon E5-2697 v2 @ 2.70GHz,14250,1237
Intel Core i7-9700KF @ 3.60GHz,14247,1238
Intel Xeon W-2235 @ 3.80GHz,14243,1239
Intel Core i5-10600K @ 4.10GHz,14242,1240
Intel Core 5 220U,14240,1241
Intel Core i9-10880H @ 2.30GHz,14240,1242
Intel Xeon E5-1680 v4 @ 3.40GHz,14221,1243
Intel Core i5-1345U,14182,1244
Intel Xeon D-1732TE @ 1.90GHz,14179,1245
AMD Ryzen 5 PRO 5650U,14173,1246
AMD Ryzen 5 4600H,14171,1247
Intel Xeon E5-4660 v3 @ 2.10GHz,14167,1248
ARM - 12 Core 0 MHz,14163,1249
Intel Core i9-10900TE @ 1.80GHz,14159,1250
AMD Ryzen 5 PRO 5675U,14153,1251
Apple M1 8 Core 3200 MHz,14133,1252
Intel Core i5-10600KF @ 4.10GHz,14132,1253
QTI SM8850,14096,1254
Intel Core i7-1355U,14089,1255
Intel Xeon E5-2696 v2 @ 2.50GHz,14080,1256
AMD Ryzen 3 8300G,14079,1257
Intel Core i3-13100,14077,1258
Intel Core i7-8086K @ 4.00GHz,14077,1259
AMD Ryzen 5 7535H,14065,1260
Intel Xeon E-2286G @ 4.00GHz,14059,1261
Intel Xeon E-2276G @ 3.80GHz,14043,1262
Intel Xeon E5-2666 v3 @ 2.90GHz,14039,1263
ARM Oryon 12 Core 3417 MHz,14036,1264
AMD Ryzen 3 PRO 5355G,14033,1265
Intel Core i7-10870H @ 2.20GHz,14029,1266
AMD Ryzen 5 PRO 7530U,14019,1267
AMD Ryzen 5 PRO 4655GE,14015,1268
Intel Core i5-1335U,13998,1269
Intel Core i3-12100F,13976,1270
AMD Ryzen AI 5 430,13958,1271
Intel Core i9-9980HK @ 2.40GHz,13946,1272
AMD BC-250,13897,1273
Intel Xeon E-2246G @ 3.60GHz,13894,1274
AMD Ryzen AI 5 330 w/ Radeon 890M,13880,1275
AMD Ryzen 5 2600X,13874,1276
AMD Ryzen Embedded V3C18I,13856,1277
Intel Core i7-1365U,13842,1278
Intel Xeon E-2236 @ 3.40GHz,13836,1279
AMD Ryzen 3 PRO 5350G,13787,1280
Intel Xeon E5-2667 v4 @ 3.20GHz,13773,1281
Intel Core i5-1240U,13757,1282
Intel Core i3-13100E,13727,1283
Intel Xeon E-2374G @ 3.70GHz,13726,1284
AMD EPYC 3251,13705,1285
Mediatek Kompanio Ultra 910,13691,1286
QTI SM8750P,13674,1287
Intel Xeon D-1823NT @ 2.80GHz,13673,1288
Intel Xeon E5-2673 v3 @ 2.40GHz,13673,1289
Intel Core i7-5960X @ 3.00GHz,13661,1290
Intel Xeon W-1250 @ 3.30GHz,13657,1291
Intel Xeon D-1587 @ 1.70GHz,13630,1292
Intel Core i3-14100T,13627,1293
Intel Xeon E-2176G @ 3.70GHz,13623,1294
Intel Xeon E-2186G @ 3.80GHz,13612,1295
Intel Xeon Silver 4215 @ 2.50GHz,13592,1296
Intel Core i5-10600 @ 3.30GHz,13578,1297
Intel Core i7-8700K @ 3.70GHz,13572,1298
AMD Ryzen 3 8300GE,13568,1299
Intel Xeon W-1270TE @ 2.00GHz,13553,1300
Intel Core i3-12100E,13535,1301
Intel Xeon Silver 4210 @ 2.20GHz,13534,1302
Intel Core i9-9880H @ 2.30GHz,13516,1303
AMD Ryzen 9 5900H,13510,1304
Intel Core i7-10700TE @ 2.00GHz,13505,1305
AMD Ryzen 3 210,13503,1306
Intel Xeon E5-2658 v3 @ 2.20GHz,13487,1307
Intel Xeon E5-2670 v3 @ 2.30GHz,13481,1308
MediaTek MT6993,13418,1309
Intel Xeon E5-2690 v2 @ 3.00GHz,13352,1310
Intel Xeon E5-1660 v4 @ 3.20GHz,13343,1311
AMD Ryzen 5 PRO 2600,13330,1312
Intel Xeon E5-2695 v2 @ 2.40GHz,13322,1313
Intel Xeon E5-1680 v3 @ 3.20GHz,13302,1314
Intel Core i7-1260U,13278,1315
Intel Xeon E5-2650 v4 @ 2.20GHz,13262,1316
Intel Core i7-1265U,13252,1317
Intel Core i5-1334U,13249,1318
Intel Xeon E-2146G @ 3.50GHz,13235,1319
Intel Core i7-9700 @ 3.00GHz,13204,1320
Intel Xeon E5-2675 v3 @ 1.80GHz,13180,1321
AMD Ryzen Embedded V2516,13175,1322
Intel Xeon D-1581 @ 1.80GHz,13173,1323
AMD Ryzen 5 3500X,13164,1324
Intel Core i7-9700F @ 3.00GHz,13162,1325
AMD Ryzen 7 4700U,13157,1326
Intel Xeon E-2136 @ 3.30GHz,13150,1327
Intel Xeon Silver 4114 @ 2.20GHz,13144,1328
Intel Core Ultra 5 134U,13142,1329
AMD Ryzen 5 2600,13140,1330
Intel Core i9-9900T @ 2.10GHz,13112,1331
Intel Xeon E5-2676 v3 @ 2.40GHz,13104,1332
AMD Ryzen 3 7440U,13100,1333
Intel Core i7-1255U,13085,1334
Intel Atom P5342,13085,1335
Intel Core i5-11400T @ 1.30GHz,13072,1336
Intel Core i3-12300T,13058,1337
AMD Ryzen 3 5300G,13055,1338
Intel Xeon E5-2660 v3 @ 2.60GHz,13044,1339
AMD Ryzen 5 4600U,13035,1340
AMD Ryzen 5 1600X,13014,1341
Intel Core i5-10500 @ 3.10GHz,13013,1342
Intel Xeon E5-4627 v4 @ 2.60GHz,12969,1343
Intel Core i7-7800X @ 3.50GHz,12967,1344
Intel Core 3 100U,12953,1345
Intel Xeon E5-2685 v3 @ 2.60GHz,12944,1346
Intel Core i5-1245U,12937,1347
Intel Core i7-10700T @ 2.00GHz,12912,1348
AMD Ryzen 3 5300GE,12892,1349
Intel Xeon Gold 6128 @ 3.40GHz,12887,1350
Apple A18 Pro,12856,1351
Hygon C86 3350 8-core,12795,1352
AMD Ryzen 5 3500,12785,1353
Intel CoreTM Ultra 5 115U,12771,1354
AMD Ryzen 3 PRO 5355GE,12761,1355
Intel Core i7-8700 @ 3.20GHz,12746,1356
Intel Core i5-11500T @ 1.50GHz,12742,1357
Intel Xeon E5-2650L v4 @ 1.70GHz,12734,1358
Intel Core i3-13100T,12721,1359
Intel Xeon E5-2680 v2 @ 2.80GHz,12719,1360
AMD Ryzen AI 5 330,12714,1361
AMD Ryzen 5 5500U,12714,1362
Hygon C86-3G,12691,1363
Intel Core Ultra 7 164U,12686,1364
Intel Core i5-1235U,12684,1365
QTI SM8750,12632,1366
AMD Ryzen 3 PRO 5350GE,12622,1367
Intel Xeon W-2133 @ 3.60GHz,12600,1368
AMD Ryzen 3 3300X,12594,1369
Intel Xeon E5-1660 v3 @ 3.00GHz,12576,1370
Intel Xeon W-1250E @ 3.50GHz,12566,1371
Intel Core i7-9700E @ 2.60GHz,12561,1372
AMD Ryzen 3 7335U,12510,1373
Intel Xeon E5-2640 v4 @ 2.40GHz,12489,1374
Intel Core i3-12100T,12447,1375
Apple A18,12434,1376
Intel Xeon E5-2618L v4 @ 2.20GHz,12429,1377
AMD Ryzen 3 PRO 7330U,12425,1378
Intel Xeon E5-2667 v3 @ 3.20GHz,12406,1379
AMD Ryzen 5 7235HS,12401,1380
Intel Xeon E5-2649 v3 @ 2.30GHz,12399,1381
Intel Ultra 5 115U,12381,1382
Intel Core i3-12100,12380,1383
Intel Xeon E5-1680 v2 @ 3.00GHz,12379,1384
AMD Ryzen 5 2600E,12346,1385
Intel Xeon E5-2687W v2 @ 3.40GHz,12340,1386
Intel Xeon E5-2673 v2 @ 3.30GHz,12306,1387
AMD Ryzen 3 PRO 7335U,12267,1388
AMD Ryzen 5 1600,12260,1389
Intel Xeon W-10855M @ 2.80GHz,12236,1390
Apple A17 Pro,12200,1391
Intel Xeon E5-2667 v2 @ 3.30GHz,12166,1392
Intel Xeon E-2334 @ 3.40GHz,12157,1393
AMD Ryzen 3 PRO 210,12155,1394
Google Tensor G5,12126,1395
Intel Xeon E5-2692 v2 @ 2.20GHz,12119,1396
AMD Ryzen 5 PRO 4500U,12117,1397
Intel Xeon D-2143IT @ 2.20GHz,12116,1398
Intel Core i5-10400F @ 2.90GHz,12110,1399
AMD Ryzen 5 PRO 4650U,12063,1400
Intel Xeon E-2278GEL @ 2.00GHz,12024,1401
Intel Core i5-10505 @ 3.20GHz,12018,1402
Intel Core i5-10400 @ 2.90GHz,11984,1403
AMD Ryzen 3 8440U,11957,1404
Intel Xeon E E-2414,11946,1405
Intel Xeon D-2141I @ 2.20GHz,11886,1406
AMD Ryzen 5 PRO 1600,11875,1407
Intel Xeon E5-2650L v3 @ 1.80GHz,11865,1408
Intel Core i5-1335UE,11850,1409
Intel Core i3-1320PE,11849,1410
ARM Neoverse-N1 32 Core 1700 MHz,11841,1411
Intel Xeon E5-2648L v4 @ 1.80GHz,11839,1412
Microsoft SQ3 @ 3.0 GHz,11831,1413
Snapdragon 8cx Gen 3 @ 3.0 GHz,11825,1414
AMD Ryzen Embedded V3C14,11812,1415
Mediatek Dimensity 9400 (MT6991),11803,1416
Intel Core i3-11100HE @ 2.40GHz,11781,1417
Intel Xeon E5-2663 v3 @ 2.80GHz,11777,1418
Intel Core i7-8700B @ 3.20GHz,11771,1419
ARM Neoverse-N1 80 Core 2800 MHz,11755,1420
Intel Xeon D-2146NT @ 2.30GHz,11736,1421
AMD Ryzen Z2 Go,11729,1422
Intel Xeon 6315P,11721,1423
Hygon C86-3G-3G (OPN:3350),11712,1424
Intel Core i7-11375H @ 3.30GHz,11711,1425
Intel Core 5 211TE,11685,1426
SM8850,11684,1427
StratoVirt,11676,1428
Intel Xeon E-2276M @ 2.80GHz,11666,1429
Intel Xeon E5-2650 v3 @ 2.30GHz,11654,1430
AMD Ryzen Embedded V2546,11653,1431
Intel Xeon Platinum 8481C @ 2.70GHz,11646,1432
Intel Xeon D-1577 @ 1.30GHz,11645,1433
Intel Xeon E5-4657L v2 @ 2.40GHz,11613,1434
Virtual @ 3.24GHz,11596,1435
Intel Core i7-10850H @ 2.70GHz,11586,1436
Intel Core i7-11370H @ 3.30GHz,11550,1437
Intel Core i5-10600T @ 2.40GHz,11534,1438
AMD Ryzen 3 3100,11529,1439
ARM Neoverse-V1 16 Core 0 MHz,11519,1440
Intel Core i7-10750H @ 2.60GHz,11505,1441
Intel Xeon E5-4628L v4 @ 1.80GHz,11503,1442
Intel Core Ultra 5 115U,11499,1443
Intel Core i5-1345URE,11494,1444
Intel Xeon W-11555MLE @ 1.90GHz,11488,1445
ARM Neoverse-N1 16 Core 0 MHz,11451,1446
AMD Ryzen 5 5500H,11442,1447
Intel Xeon E5-2630 v4 @ 2.20GHz,11410,1448
Virtual @ 2.95GHz,11407,1449
QTI SM8735,11371,1450
Intel Core i5-10500E @ 3.10GHz,11368,1451
Hygon C86 3250 8-core,11365,1452
Intel Core i7-6850K @ 3.60GHz,11364,1453
Intel Core i3-11100B @ 3.60GHz,11357,1454
Intel Xeon E5-4627 v3 @ 2.60GHz,11344,1455
QTI SM8650,11339,1456
Intel Xeon E5-1650 v4 @ 3.60GHz,11334,1457
Hygon C86-3G (OPN:3350),11328,1458
Intel Xeon E5-2618L v3 @ 2.30GHz,11310,1459
Intel Core i7-1250U,11289,1460
Intel Core i7-1365URE,11285,1461
Intel Xeon E5-2670 v2 @ 2.50GHz,11273,1462
AMD Ryzen 3 5425U,11260,1463
Intel Xeon Bronze 3508U,11248,1464
Intel Core i3-13100TE,11248,1465
Intel Xeon E-2186M @ 2.90GHz,11243,1466
AMD Ryzen 3 4300GE,11234,1467
Intel Core i3-1315U,11199,1468
Intel Xeon E-2226G @ 3.40GHz,11174,1469
AMD EPYC 7261,11149,1470
AMD Ryzen 3 PRO 5475U,11141,1471
Intel Xeon Silver 4209T @ 2.20GHz,11080,1472
Intel Xeon E5-2628L v4 @ 1.90GHz,11079,1473
Intel Core i5-1230U,11061,1474
AMD Ryzen 3 4100,11049,1475
